dates;months;revenge
14/09/2003;0;80.16
14/07/2004;10;72.85
14/08/2004;11;69.11
14/02/2005;17;68.12
14/05/2005;20;61.52
14/07/2005;22;60.38
14/08/2005;23;55.38
14/11/2005;26;54.13
14/10/2006;37;51.16
14/11/2007;50;46.63
14/06/2008;57;46.03
14/08/2008;59;45.15
14/09/2008;60;41.31
14/10/2008;61;41.16
14/01/2009;64;40.05
14/05/2009;68;39.83
14/08/2009;71;39.28
14/10/2009;73;36.46
14/07/2010;82;35.4
14/10/2010;85;34.41
14/11/2010;86;31.97
14/05/2011;92;31.05
14/07/2011;94;30.88
14/09/2011;96;30.28
14/01/2012;100;30.02
14/04/2012;103;26.77
14/09/2012;108;26.75
14/03/2013;114;26.44
14/06/2013;117;25.34
14/01/2014;124;24.66
14/05/2014;128;24.33
14/08/2014;131;21.97
14/10/2015;145;21.54
14/06/2017;165;19.41
14/07/2017;166;19.36
14/05/2018;176;18.84
14/06/2018;177;18.42
14/08/2019;191;18.25
14/09/2019;192;17.42
14/12/2021;219;16.86
14/04/2022;223;16.79
