dates;months;rubik
14/09/2003;0;16.53
14/02/2004;5;14.76
14/04/2004;7;12.11
14/11/2005;26;11.75
14/01/2006;28;11.13
14/08/2006;35;10.48
14/03/2007;42;10.36
14/05/2007;44;9.86
14/10/2007;49;9.77
14/12/2007;51;9.55
14/02/2008;53;9.18
14/05/2008;56;8.72
14/07/2008;58;7.08
14/11/2010;86;6.77
14/02/2011;89;6.65
14/05/2011;92;6.24
14/07/2011;94;5.66
14/03/2013;114;5.55
14/05/2015;140;5.25
14/12/2015;147;4.9
14/11/2016;158;4.74
14/12/2016;159;4.73
14/09/2017;168;4.69
14/10/2017;169;4.59
14/05/2018;176;4.22
14/12/2018;183;3.47
