dates;months;v7
14/02/2009;0;256.47
14/03/2009;1;236.06
14/04/2009;2;227.36
14/10/2009;8;223.15
14/08/2010;18;213.25
14/10/2010;20;205.91
14/08/2011;30;193.19
14/03/2012;37;193.11
14/08/2012;42;185.8
14/09/2012;43;161.63
14/08/2013;54;160.11
14/03/2014;61;159.41
14/10/2014;68;158.93
14/03/2015;73;156.58
14/06/2015;76;154.64
14/08/2015;78;143.55
14/08/2016;90;140.66
14/04/2017;98;138.13
14/06/2017;100;134.55
14/07/2017;101;126.73
14/03/2018;109;119.95
14/04/2018;110;119.89
14/06/2018;112;117.76
14/07/2018;113;107.89
14/07/2019;125;104.02
14/08/2019;126;100.89
